"Mobiliteitstrend; per rit, vervoerwijzen, reismotief, leeftijd en geslacht";;;;;;;;;;;;;;;;;;;;;;;;;;
Geslacht: Totaal mannen en vrouwen;;;;;;;;;;;;;;;;;;;;;;;;;;
Marges: Waarde;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Vervoerwijzen;Totaal;Totaal;Totaal;Auto (bestuurder);Auto (bestuurder);Auto (bestuurder);Auto (passagier);Auto (passagier);Auto (passagier);Trein;Trein;Trein;Bus/tram/metro;Bus/tram/metro;Bus/tram/metro;Fiets;Fiets;Fiets;Lopen;Lopen;Lopen;Overige vervoerwijze;Overige vervoerwijze;Overige vervoerwijze
;;Onderwerp;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit
Perioden;Leeftijd;Reismotieven;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten
2005*;Totaal;Onderwijs volgen, cursus, kinderopvang;0,29;6,94;17,87;0,02;23;28,26;0,03;8,99;17,21;0,01;38,32;41;0,03;12,84;27,81;0,13;2,96;15,76;0,07;0,7;9,41;0,01;12,38;30,65
2005*;Totaal;Vrije tijd;1,13;12,9;31,6;0,29;19,61;28,46;0,22;23,24;32,5;0,01;64,93;66,74;0,03;10,93;30,84;0,27;4,77;29,33;0,27;2,06;32,71;0,03;20,68;48,55
2005*;Totaal;Overige reismotieven;0,53;12,49;20,22;0,24;16,89;22,63;0,06;21,2;26,85;0,01;63,48;59,27;0,02;9,55;26,1;0,11;2,15;12,96;0,08;0,81;11,29;0,02;22,56;29,72
2006*;Totaal;Totaal;3,25;11,01;23,69;1,01;16,99;24,31;0,41;19,33;27,9;0,07;48,81;49,6;0,13;10,23;26,87;0,86;3,33;19,1;0,65;1,4;21,02;0,11;18,49;33,14
2006*;Totaal;Van en naar het werk;0,61;15,28;24,95;0,25;22,33;29,64;0,03;21,3;30,57;0,03;41,49;42;0,04;10,37;25,3;0,15;3,69;17,65;0,06;0,89;10,62;0,04;20,5;29,52
2006*;Totaal;Winkelen, boodschappen doen;0,67;5,03;14,54;0,22;7,19;14,56;0,08;10,56;19,15;0,01;42,1;45,64;0,02;8,03;24,72;0,19;1,92;12,07;0,14;0,87;12,49;0,01;5,72;15,93
2006*;Totaal;Onderwijs volgen, cursus, kinderopvang;0,3;6,88;17,84;0,02;23,3;28,65;0,03;8,89;17,15;0,01;38,27;41,06;0,03;11,75;27,69;0,13;2,97;15,71;0,07;0,71;9,29;0,01;12,49;30,6
2006*;Totaal;Vrije tijd;1,12;12,73;31,84;0,28;19,79;28,57;0,21;23,32;32,5;0,02;64,65;66,12;0,03;10,82;30,48;0,27;4,79;29,28;0,29;2,13;33,49;0,03;19,89;47,29
2006*;Totaal;Overige reismotieven;0,55;12,31;20,05;0,24;16,7;22,52;0,06;20,52;26,59;0,01;62,63;58,83;0,02;8,83;25,87;0,12;2,17;12,87;0,08;0,81;11,09;0,02;23,06;29,36
2007*;Totaal;Totaal;3,2;11,07;23,88;1,01;17,06;24,44;0,4;19,27;27,93;0,07;48,59;49,5;0,13;10,1;26,9;0,85;3,37;19,29;0,63;1,44;21,36;0,11;17,74;33,71
